Gender,Race,Age,EmploymentLength,AnnualIncome,MonthlyDebt,RequestedAmount,CreditScore,PriorDefaults,DTI,LoanToIncome,Approved
0,1,61,21.0,92722,1650.0,56200.0,609,0,0.21354155432367722,0.6061128966156899,1
0,1,30,6.0,44550,1250.0,17900.0,538,1,0.3367003367003367,0.40179573512906847,0
1,0,37,10.0,56594,420.0,18700.0,650,0,0.08905537689507721,0.33042371982895713,1
0,0,37,6.0,59361,1040.0,14000.0,562,0,0.21023904583817657,0.23584508347231348,1
1,0,23,5.0,51117,470.0,29800.0,644,0,0.11033511356300252,0.5829763092513254,1
0,0,51,10.0,62383,620.0,21700.0,647,0,0.11926326082426301,0.3478511774041005,1
1,0,21,2.0,18000,480.0,11000.0,532,1,0.32,0.6111111111111112,1
1,0,32,14.0,63192,2030.0,36300.0,638,0,0.3854918344094189,0.5744398025066464,1
0,0,59,18.0,64799,270.0,21900.0,706,0,0.05000077161684594,0.3379681785212735,1
1,0,24,0.0,34248,1350.0,15000.0,555,0,0.4730203223545901,0.43798177995795373,0
1,0,62,15.0,85023,2970.0,13900.0,668,0,0.41918069228326454,0.16348517459981418,1
1,1,33,5.0,18000,130.0,5100.0,610,1,0.08666666666666667,0.2833333333333333,1
1,1,54,17.0,60263,1750.0,30400.0,599,1,0.3484725287489836,0.5044554701890048,1
1,0,62,18.0,102711,1670.0,50200.0,736,0,0.19511055291059382,0.48874998782993057,1
1,1,41,6.0,23513,470.0,7700.0,557,1,0.23986730744694423,0.3274784161952962,1
0,0,42,6.0,58351,1570.0,32300.0,566,0,0.32287364398210827,0.5535466401604086,1
0,0,24,3.0,24841,640.0,6700.0,578,1,0.3091662976530736,0.26971538987963445,1
0,0,38,8.0,47092,710.0,17900.0,576,0,0.18092244967298055,0.38010702454769385,1
0,0,25,4.0,62195,940.0,24000.0,562,0,0.18136506150012058,0.38588310957472466,1
0,1,39,12.0,55881,870.0,17900.0,606,0,0.18682557577709777,0.3203235446752921,1
0,1,22,4.0,35003,1130.0,22000.0,507,0,0.3873953661114762,0.6285175556380882,1
1,0,32,0.0,31450,130.0,15700.0,563,0,0.04960254372019078,0.49920508744038156,1
0,0,37,10.0,39618,760.0,16600.0,543,0,0.2301983946690898,0.41900146398101873,1
0,0,30,5.0,30480,1110.0,12400.0,548,1,0.43700787401574803,0.4068241469816273,1
1,0,54,7.0,75041,2090.0,17200.0,635,0,0.33421729454564836,0.2292080329419917,1
0,0,26,8.0,47834,1500.0,16100.0,507,1,0.37630137559058413,0.3365806748338002,1
1,0,28,5.0,27856,540.0,13500.0,530,1,0.23262492820218264,0.4846352670878805,0
0,1,31,8.0,41735,380.0,25600.0,627,0,0.10926081226788067,0.6133940337845932,1
1,1,32,0.0,32739,700.0,18300.0,527,1,0.25657472738935216,0.5589663703839457,1
1,0,29,3.0,40353,560.0,12100.0,559,1,0.1665303694892573,0.2998537903005972,1
0,1,22,0.0,18000,780.0,6600.0,434,1,0.52,0.36666666666666664,0
0,0,28,10.0,31696,610.0,6100.0,565,1,0.2309439676930843,0.19245330641090358,1
1,0,31,9.0,40615,1110.0,8200.0,517,1,0.3279576511141204,0.20189585128647053,1
1,0,56,12.0,83308,3150.0,32100.0,584,0,0.45373793633264514,0.38531713640946846,1
1,0,30,0.0,41452,410.0,17200.0,520,1,0.11869149860079127,0.4149377593360996,0
1,1,41,9.0,50424,210.0,14200.0,662,0,0.049976201808662545,0.28161193082659053,1
0,0,40,13.0,62649,1610.0,29500.0,536,0,0.3083848106115022,0.47087742821114464,1
0,0,28,0.0,29399,810.0,14700.0,529,1,0.3306234905949182,0.5000170073812035,1
0,0,56,11.0,72672,1210.0,21800.0,635,0,0.1998018494055482,0.29997798326728314,1
1,0,49,7.0,66281,610.0,35100.0,690,0,0.11043888897270711,0.5295635249920791,1
1,1,62,21.0,92422,2210.0,23400.0,718,0,0.2869446668542122,0.25318647075371664,1
0,0,32,4.0,41658,860.0,17600.0,498,1,0.24773152815785685,0.4224878774785155,0
0,0,34,5.0,78334,1880.0,43300.0,531,1,0.28799754895703017,0.5527612530957183,1
0,0,41,9.0,60608,580.0,25400.0,613,0,0.1148363252375924,0.41908658922914466,1
0,0,42,6.0,51636,1240.0,31200.0,555,0,0.2881710434580525,0.6042296072507553,1
1,0,41,3.0,62208,1810.0,11200.0,598,0,0.34915123456790126,0.1800411522633745,1
1,1,64,23.0,60440,350.0,26800.0,735,0,0.06949040370615486,0.443414956982131,1
1,0,50,18.0,79960,2830.0,34500.0,613,0,0.42471235617808906,0.4314657328664332,1
0,1,59,17.0,77026,1800.0,37000.0,706,0,0.2804247916288007,0.4803572819567419,1
0,1,40,9.0,68078,2000.0,38600.0,523,0,0.3525367960280854,0.566996680278504,1
1,1,44,15.0,64159,520.0,32900.0,633,0,0.09725837372777008,0.5127885409685313,1
1,0,43,10.0,58269,1610.0,31800.0,601,1,0.33156566956700817,0.5457447356227153,1
1,0,27,1.0,38251,170.0,11300.0,554,1,0.053331939034273614,0.29541711327808423,1
1,0,29,4.0,23733,270.0,8200.0,423,1,0.13651877133105803,0.3455104706526777,1
0,1,21,3.0,38101,890.0,17700.0,533,1,0.2803076034749744,0.46455473609616543,0
1,0,46,11.0,44364,800.0,18900.0,641,0,0.21639166892074654,0.42602109818771977,1
0,0,58,13.0,83401,1760.0,52600.0,604,0,0.2532343736885649,0.6306878814402705,1
0,0,58,16.0,84027,3370.0,20500.0,528,1,0.4812738762540612,0.2439692003760696,1
0,0,64,21.0,74743,1570.0,24300.0,662,0,0.2520637384102859,0.3251140575037127,1
0,0,42,11.0,64127,1790.0,28000.0,581,0,0.3349603131286354,0.43663355528872394,1
1,0,64,20.0,91783,1850.0,53600.0,686,0,0.24187485699966224,0.5839861412244097,1
0,1,30,1.0,22841,450.0,14000.0,452,1,0.23641696948469856,0.6129328838492185,1
0,0,26,6.0,30850,340.0,9800.0,572,0,0.13225283630470017,0.31766612641815234,1
1,0,37,7.0,53206,1300.0,9800.0,616,0,0.2932000150358982,0.18418975303537194,1
0,0,58,13.0,83447,3850.0,30100.0,648,0,0.5536448284539888,0.36070799429578054,1
0,0,44,13.0,70621,1530.0,24500.0,668,0,0.2599793262627264,0.34692230356409565,1
1,0,30,2.0,34306,620.0,22100.0,492,1,0.21687168425348335,0.6442021803766105,1
0,1,28,0.0,20801,670.0,7600.0,549,0,0.38651987885197825,0.365367049661074,1
0,0,41,5.0,80766,2510.0,24500.0,519,0,0.372929202882401,0.30334546715201943,1
0,1,26,2.0,25420,640.0,8500.0,559,1,0.3021243115656963,0.33438237608182536,1
0,0,41,11.0,52118,930.0,18200.0,573,0,0.21412947542115968,0.3492075674431099,1
1,0,59,12.0,73053,2360.0,41000.0,644,0,0.3876637509753193,0.5612363626408224,1
1,1,44,9.0,45728,1010.0,8700.0,668,0,0.26504548635409375,0.1902554233729881,1
1,0,53,9.0,59241,1780.0,18300.0,649,0,0.36056109788828683,0.3089076821795716,1
1,0,38,11.0,76591,970.0,48500.0,566,0,0.151976080740557,0.6332336697523208,1
1,0,48,18.0,59043,880.0,13400.0,602,0,0.1788527005741578,0.22695323747099572,1
0,0,52,20.0,85249,1860.0,44400.0,693,0,0.26182125303522624,0.5208272237797511,1
1,1,32,9.0,25547,220.0,8400.0,652,1,0.10333894390730809,0.32880573061416213,1
1,0,62,21.0,81807,1400.0,36100.0,714,0,0.20536139939125014,0.44128253083476965,1
1,1,47,3.0,62133,500.0,12400.0,588,1,0.09656704166867848,0.19957188611526885,1
1,1,30,5.0,34077,180.0,10300.0,582,0,0.06338586143146403,0.30225665404818497,1
0,0,66,17.0,94732,4280.0,37900.0,660,0,0.5421610437866824,0.400076003884643,1
0,1,62,21.0,75026,1110.0,19900.0,695,0,0.1775384533361768,0.2652413829872311,1
0,0,52,3.0,54204,850.0,22800.0,568,0,0.18817799424396722,0.42063316360416203,1
0,1,62,18.0,103677,2240.0,26900.0,724,0,0.25926676119100667,0.259459668007369,1
1,0,46,10.0,64992,660.0,30900.0,713,0,0.12186115214180207,0.4754431314623338,1
1,1,45,15.0,53623,850.0,32300.0,698,0,0.19021688454581057,0.6023534677284001,1
0,0,31,11.0,59787,2340.0,11500.0,445,1,0.46966731898238745,0.19234950741800058,1
0,0,43,6.0,59811,1460.0,15400.0,634,1,0.2929227065255555,0.25747772148935816,1
0,0,54,10.0,61326,1880.0,35100.0,638,0,0.367870071421583,0.5723510419724097,1
0,1,60,17.0,74274,2720.0,34600.0,611,1,0.4394539138864206,0.4658426905781296,1
0,0,43,16.0,98654,2260.0,18700.0,531,0,0.27490015610112106,0.18955136132341313,1
0,0,49,12.0,75104,1400.0,29500.0,623,1,0.22368981678738817,0.3927886663826161,1
1,1,51,8.0,33171,220.0,8500.0,657,0,0.07958759157095052,0.2562479274064695,1
0,1,27,1.0,34422,590.0,8600.0,487,1,0.2056824124106676,0.2498402184649352,0
0,1,60,17.0,94337,1810.0,58500.0,727,0,0.23023840062753745,0.6201172392592514,1
1,1,53,14.0,51747,660.0,27500.0,710,0,0.15305235086091948,0.5314317738226371,1
0,1,41,6.0,41517,1510.0,20700.0,576,0,0.4364477202109979,0.4985909386516367,1
1,1,22,0.0,34245,1090.0,9200.0,433,1,0.38195356986421375,0.2686523580084684,1
1,0,38,4.0,44018,1350.0,9200.0,539,1,0.36803125993911584,0.20900540687900404,0
0,0,67,24.0,101085,1990.0,59200.0,746,0,0.2362368303902656,0.5856457436810605,1
0,1,53,10.0,46567,490.0,7100.0,675,0,0.1262696759507806,0.15246848626709902,1
0,0,57,13.0,91146,3110.0,31400.0,592,1,0.4094529655717201,0.34450222719592744,1
0,0,54,12.0,72138,1740.0,20800.0,606,0,0.28944522997587957,0.28833624442041644,1
0,0,40,2.0,22148,630.0,9600.0,520,0,0.3413400758533502,0.4334477153693336,1
1,1,55,11.0,40828,1100.0,11200.0,612,0,0.3233075340452631,0.27432154403840503,1
0,0,38,12.0,54861,1310.0,16800.0,569,0,0.2865423524908405,0.3062284683108219,1
0,0,66,14.0,74125,3030.0,42600.0,607,1,0.49052276559865093,0.5747048903878583,1
0,0,44,6.0,46408,660.0,21000.0,596,0,0.1706602309946561,0.45250818824340633,1
1,0,28,0.0,57736,1020.0,12900.0,537,0,0.211999445753083,0.22343078841623942,1
0,0,50,12.0,79690,2970.0,40900.0,646,0,0.44723302798343584,0.5132388003513615,1
0,0,64,25.0,70971,1540.0,18000.0,625,0,0.26038804582153274,0.25362471995603836,1
0,0,30,4.0,39428,770.0,14500.0,606,0,0.23435122248148524,0.36775895302830475,1
1,1,43,10.0,47526,870.0,22500.0,573,0,0.21966923368261584,0.47342507259184446,1
0,0,31,2.0,23276,640.0,6700.0,616,0,0.32995360027496135,0.28785014607320847,1
1,1,22,1.0,24712,460.0,8500.0,552,1,0.22337325995467788,0.34396244739397863,1
1,1,46,16.0,35503,620.0,18400.0,661,0,0.20955975551361858,0.5182660620229277,1
0,0,56,15.0,93663,2570.0,58000.0,635,0,0.3292655584382307,0.6192413226140525,1
1,1,53,22.0,91898,2000.0,38100.0,760,0,0.2611591111884916,0.4145900890117304,1
0,0,67,24.0,131031,1410.0,20300.0,728,0,0.1291297479222474,0.15492517037952852,1
1,1,33,5.0,18000,380.0,5700.0,627,0,0.25333333333333335,0.31666666666666665,1
1,0,60,16.0,62749,2180.0,21900.0,615,0,0.4168990740888301,0.3490095459688601,1
1,1,45,17.0,69012,1970.0,22100.0,650,1,0.3425491218918449,0.32023416217469425,1
0,0,24,2.0,49592,1790.0,18300.0,584,1,0.4331343765123407,0.3690111308275528,0
1,0,62,23.0,101007,1370.0,47100.0,670,0,0.1627609967626006,0.46630431554248714,1
0,0,39,16.0,81356,2570.0,17100.0,616,1,0.3790746841044299,0.21018732484389596,1
0,1,38,7.0,62621,900.0,17900.0,559,1,0.1724661056195206,0.28584660098050174,1
0,1,57,17.0,78727,670.0,31800.0,703,0,0.10212506509837795,0.40392749628462915,1
1,0,50,16.0,68649,880.0,21100.0,740,0,0.15382598435519818,0.30736063161881455,1
1,0,39,11.0,38481,850.0,24800.0,551,0,0.2650658766664068,0.6444738962085185,1
0,0,43,13.0,63522,1980.0,23200.0,601,1,0.37404363842448285,0.3652277950946129,1
0,1,36,1.0,33761,810.0,19700.0,510,1,0.28790616391694557,0.5835135215189123,1
0,0,21,0.0,18603,360.0,11100.0,509,0,0.23222060957910015,0.5966779551685212,1
1,1,32,3.0,28841,300.0,16400.0,597,1,0.12482230158454977,0.5686349294407267,1
0,0,44,15.0,58151,1620.0,10100.0,596,0,0.33430207563068565,0.17368574917026364,1
1,0,54,9.0,77259,2350.0,48200.0,680,0,0.3650060187162661,0.6238755355363129,1
0,0,28,10.0,55709,1330.0,11900.0,581,0,0.28648871816044086,0.21361000915471468,1
1,0,38,11.0,48584,500.0,8100.0,552,1,0.1234974477194138,0.16672155442120862,1
0,0,25,7.0,45966,1330.0,16400.0,546,0,0.3472131575512335,0.3567854501153026,1
0,0,46,7.0,47238,1560.0,11700.0,643,0,0.39629112155468055,0.24768195097167534,1
0,1,50,13.0,52655,1900.0,12700.0,627,0,0.4330073117462729,0.24119266926217833,1
1,0,33,7.0,36493,600.0,10700.0,586,0,0.19729811196667854,0.2932069163949251,1
1,0,39,9.0,49596,1250.0,13600.0,567,1,0.3024437454633438,0.2742156625534317,1
0,0,49,13.0,73594,1140.0,36200.0,633,0,0.18588471886295077,0.49188792564611244,1
1,0,23,0.0,27341,320.0,6700.0,534,1,0.14044841081160162,0.24505321678065908,0
1,0,46,11.0,44674,1640.0,18800.0,474,1,0.44052468997627253,0.4208264314813986,1
1,0,60,20.0,84231,2230.0,54200.0,690,0,0.31769775973216513,0.6434685567071505,1
1,0,32,0.0,22983,780.0,8400.0,561,1,0.40725753818039423,0.36548753426445635,1
0,0,22,4.0,18000,150.0,8500.0,517,1,0.1,0.4722222222222222,1
0,0,31,9.0,88407,2100.0,56100.0,574,0,0.2850453018426143,0.6345651362448674,1
1,0,64,14.0,69816,1810.0,15300.0,675,0,0.31110347198349947,0.21914747335854246,1
1,0,48,13.0,56182,700.0,20200.0,677,0,0.149514079242462,0.3595457619878253,1
1,0,38,11.0,37942,1350.0,21800.0,567,1,0.4269674766749249,0.5745611723156396,1
0,1,33,1.0,20410,380.0,12600.0,574,0,0.22341989220970113,0.61734443900049,1
0,0,57,15.0,79035,2010.0,35600.0,594,1,0.30518124881381664,0.4504333523122667,1
1,1,42,9.0,62521,960.0,13900.0,560,0,0.18425808928200124,0.2223252986996369,1
1,0,32,3.0,34967,310.0,21000.0,591,0,0.10638602110561386,0.6005662481768524,1
1,1,22,1.0,18000,540.0,5000.0,491,0,0.36,0.2777777777777778,1
1,1,57,13.0,78703,1940.0,25700.0,569,0,0.29579558593700367,0.32654409615897745,1
1,0,27,9.0,36007,840.0,12200.0,570,1,0.2799455661399172,0.33882300663759823,1
0,1,46,8.0,54253,980.0,20300.0,550,0,0.2167622066982471,0.3741728568005456,1
0,0,46,14.0,59941,1460.0,32700.0,739,0,0.29228741595902635,0.5455364441701006,1
1,0,44,3.0,67121,2250.0,37000.0,459,1,0.40225860758927906,0.5512432770667898,0
1,1,32,4.0,43382,610.0,22100.0,568,0,0.16873357613756856,0.5094278733115117,1
0,1,36,7.0,42664,1130.0,6900.0,514,1,0.3178323645227827,0.16172885805362835,1
0,0,43,9.0,56306,1290.0,24300.0,636,1,0.2749262955990481,0.4315703477426917,1
1,0,60,15.0,77317,1470.0,40500.0,647,0,0.22815163547473388,0.523817530426685,1
0,0,29,1.0,36239,160.0,13500.0,611,1,0.05298159441485692,0.3725268357294627,1
0,0,52,16.0,60238,1250.0,37500.0,680,0,0.249012251402769,0.6225306285069225,1
1,1,35,10.0,55192,1520.0,31000.0,522,1,0.3304826786490796,0.5616756051601681,1
1,0,57,15.0,72574,1750.0,34000.0,616,0,0.28935982583294295,0.46848733706286,1
1,0,33,1.0,57880,370.0,10500.0,556,1,0.07671043538355218,0.18140981340704906,1
0,0,25,7.0,48761,1620.0,23200.0,521,1,0.39867927236931155,0.47579007813621543,1
1,0,31,1.0,18000,670.0,10900.0,502,1,0.44666666666666666,0.6055555555555555,0
0,0,30,0.0,21820,430.0,7400.0,569,1,0.23648029330889092,0.3391384051329056,0
0,0,33,0.0,18000,790.0,10200.0,511,1,0.5266666666666666,0.5666666666666667,1
1,1,61,17.0,57971,730.0,17800.0,659,0,0.15111003777750945,0.30705007676251916,1
1,1,66,18.0,59396,480.0,25800.0,669,1,0.09697622735537746,0.4343726850292949,1
1,0,35,10.0,53230,570.0,25200.0,564,1,0.1284989667480744,0.4734172459139583,1
1,1,62,20.0,75006,1750.0,36700.0,695,0,0.27997760179185666,0.4892941897981495,1
1,1,27,4.0,35686,150.0,21100.0,562,1,0.050439948439163815,0.5912682844813092,1
0,1,60,15.0,75242,1330.0,20100.0,761,0,0.21211557374870418,0.26713803460833047,1
0,0,48,16.0,72716,3650.0,20400.0,583,0,0.6023433632212993,0.2805434842400572,1
0,0,52,21.0,110338,640.0,55400.0,699,0,0.06960430676648117,0.5020935670394606,1
0,0,55,18.0,86873,1330.0,20700.0,589,1,0.18371645965950295,0.23827886685161098,1
1,0,35,4.0,40233,420.0,15400.0,519,0,0.1252703004995899,0.38277036263763575,1
0,0,56,18.0,74758,1340.0,12000.0,617,1,0.21509403675860778,0.16051793787955804,1
1,0,41,7.0,36389,630.0,8000.0,569,0,0.20775509082415017,0.21984665695677266,1
1,0,26,0.0,37246,530.0,18200.0,470,1,0.17075659131181872,0.48864307576652527,0
1,1,21,0.0,24528,470.0,12800.0,463,1,0.2299412915851272,0.5218525766470972,0
0,0,24,0.0,51258,1390.0,10600.0,538,1,0.325412618518085,0.20679698778727224,1
1,0,31,5.0,45246,1570.0,11900.0,491,1,0.4163903991513062,0.2630066746231711,0
0,1,64,26.0,90682,1630.0,18100.0,714,0,0.2156988156414724,0.1995985972960455,1
0,1,46,7.0,58632,1220.0,21500.0,626,1,0.2496930004093328,0.36669395551917044,1
1,1,57,20.0,73836,1880.0,15700.0,706,0,0.30554201202665365,0.21263340375968362,1
0,1,43,8.0,61984,530.0,22900.0,630,0,0.10260712441920496,0.3694501806917914,1
0,0,49,4.0,74411,1440.0,38400.0,615,0,0.23222373036244642,0.5160527341387698,1
1,1,41,7.0,40477,640.0,19900.0,640,0,0.18973738172295376,0.49163722607900784,1
0,0,65,23.0,120787,3670.0,35100.0,704,0,0.36460877412304304,0.2905941864604635,1
1,0,65,20.0,103460,3970.0,50400.0,707,1,0.4604678136477866,0.4871447902571042,1
1,0,47,13.0,64512,840.0,39600.0,540,1,0.15625,0.6138392857142857,1
1,0,59,21.0,93948,3160.0,30400.0,654,0,0.40362753863839573,0.32358325882403033,1
0,0,60,12.0,82865,520.0,26100.0,680,0,0.07530320400651662,0.31497013214264163,1
0,0,33,1.0,41363,940.0,18000.0,537,0,0.27270749220317675,0.43517153011145226,1
1,1,43,0.0,56557,1330.0,15400.0,568,0,0.2821931856357303,0.2722916703502661,1
0,0,36,10.0,63211,380.0,30100.0,593,0,0.07213934283589882,0.47618294284222684,1
1,0,50,15.0,59608,750.0,33700.0,687,0,0.15098644477251374,0.5653603543148571,1
1,1,24,5.0,18000,210.0,6800.0,529,1,0.14,0.37777777777777777,1
1,0,60,12.0,61354,470.0,30000.0,665,0,0.09192554682661278,0.4889656746096424,1
0,0,36,0.0,47874,200.0,22800.0,644,0,0.05013159543802481,0.47625015666123577,1
0,1,51,7.0,52401,980.0,8900.0,674,0,0.22442319803057192,0.16984408694490563,1
1,0,62,13.0,80299,1600.0,19400.0,669,0,0.239106340054048,0.24159703109627767,1
0,0,45,17.0,85936,1710.0,51300.0,605,0,0.2387823496555576,0.5969558741388941,1
0,1,64,22.0,113744,3240.0,70500.0,609,0,0.34182022788015193,0.6198129132086088,1
1,0,32,3.0,33478,140.0,18100.0,574,0,0.05018220921201983,0.5406535635342613,1
1,0,46,12.0,45097,770.0,27500.0,646,0,0.20489167793866556,0.6097966605317426,1
1,1,57,12.0,84308,3910.0,25600.0,566,0,0.5565308155809651,0.30364852683019405,0
1,1,53,15.0,46614,1380.0,12800.0,629,0,0.3552580769725833,0.27459561505127217,1
0,0,48,7.0,44142,1310.0,15100.0,572,0,0.3561234198722305,0.34207783969915273,1
1,0,29,7.0,62097,660.0,11000.0,497,0,0.12754239335233586,0.17714221298935537,1
1,0,32,2.0,48594,920.0,27000.0,555,1,0.22718854179528336,0.5556241511297692,1
0,0,25,6.0,48018,200.0,30800.0,593,0,0.04998125702861427,0.6414261318672164,1
0,0,48,10.0,66000,1760.0,37100.0,611,0,0.32,0.5621212121212121,1
1,0,55,11.0,64829,2260.0,27700.0,683,0,0.41833130234925725,0.4272779157475821,1
1,1,25,7.0,21890,140.0,6500.0,558,1,0.0767473732297853,0.29693924166285973,1
1,0,54,15.0,69503,640.0,17300.0,650,0,0.11049882738874581,0.2489101189876696,1
1,0,66,17.0,84931,1740.0,28200.0,782,0,0.24584662843955682,0.33203423955917155,1
0,0,54,17.0,65406,1460.0,31600.0,595,1,0.2678653334556463,0.4831361037213711,1
0,1,33,0.0,21757,340.0,8100.0,523,0,0.18752585374821895,0.37229397435308176,1
1,0,59,20.0,59056,750.0,36400.0,708,0,0.15239772419398537,0.6163641289623408,1
1,0,62,17.0,83235,1060.0,48000.0,739,0,0.1528203279870247,0.5766804829699045,1
1,1,65,21.0,83637,1700.0,16800.0,738,0,0.24391118763226802,0.20086803687363247,1
1,0,34,0.0,55742,1490.0,12000.0,487,1,0.32076351763481753,0.2152775286139715,0
0,0,31,3.0,47006,960.0,22900.0,621,0,0.2450750967961537,0.48717185040207633,1
0,0,62,17.0,81627,1580.0,21700.0,698,0,0.23227608511889447,0.2658434096561187,1
1,0,58,20.0,81195,340.0,44300.0,668,0,0.05024939959357103,0.5456000985282345,1
1,0,24,5.0,39741,1170.0,17700.0,488,1,0.35328753680078506,0.44538386049671624,1
1,0,53,12.0,70331,1430.0,18600.0,638,0,0.24398913708037706,0.2644637499822269,1
1,0,27,4.0,41739,690.0,16300.0,646,0,0.19837561992381225,0.3905220537147512,1
1,0,61,22.0,93524,2190.0,33000.0,694,0,0.2809973910440101,0.35285060519225014,1
0,1,28,3.0,29068,360.0,17100.0,652,0,0.14861703591578368,0.5882757671666438,1
0,1,57,14.0,65370,1090.0,10900.0,698,0,0.20009178522257917,0.16674315435214931,1
0,1,30,0.0,22125,480.0,13200.0,476,1,0.26033898305084746,0.5966101694915255,0
1,1,63,16.0,62496,880.0,29800.0,748,0,0.16897081413210446,0.4768305171530978,1
0,0,35,0.0,28214,120.0,14600.0,534,1,0.05103849152902814,0.5174735946693131,1
0,1,58,15.0,96161,400.0,14500.0,659,0,0.049916286228304615,0.1507887813146702,1
1,0,35,10.0,51696,1310.0,24000.0,586,0,0.30408542246982356,0.46425255338904364,1
0,1,25,0.0,23336,480.0,10400.0,521,0,0.24682893383613302,0.4456633527596846,1
1,1,49,17.0,57949,1170.0,24300.0,683,0,0.2422820065920033,0.41933424217846726,1
0,1,39,7.0,52046,480.0,28300.0,625,0,0.11067132920877686,0.5437497598278446,1
0,1,30,4.0,49643,1020.0,21200.0,544,1,0.24656044155268617,0.4270491307938682,1
1,0,32,3.0,45979,770.0,26600.0,634,0,0.2009613084234107,0.5785249787946671,1
0,0,24,0.0,43459,640.0,11600.0,509,1,0.17671828620078694,0.26691824478243864,1
0,0,51,10.0,61961,1240.0,34300.0,578,0,0.24015106276528783,0.5535740223689095,1
1,0,38,16.0,61550,1460.0,14800.0,626,0,0.28464662875710806,0.2404549147034931,1
1,0,36,2.0,32119,1230.0,17900.0,524,0,0.4595410816027896,0.5573025312120552,1
0,0,60,10.0,77484,2050.0,48100.0,645,0,0.31748490010840946,0.6207733209436787,1
